date,open,high,low,close,volume,amount,outstanding_share,turnover
2020-04-15,175.54,175.82,171.47,172.11,22063014.0,412971486.0,11683461365.0,0.0018883970521008351
2020-04-16,171.47,175.63,170.45,175.63,23402497.0,439316732.0,11683461365.0,0.0020030448399569814
2020-04-17,176.65,178.32,174.98,175.91,23875891.0,454958161.0,11683461365.0,0.0020435631405881743
2020-04-20,176.0,176.19,172.95,174.06,20386435.0,382663623.0,11683461365.0,0.0017448968557444277
2020-04-21,174.89,174.89,171.19,172.3,21200551.0,394154761.0,11683461365.0,0.0018145779181082608
2020-04-22,171.28,171.84,170.17,171.74,16058585.0,296565200.0,11683461365.0,0.0013744715284553003
2020-04-23,172.67,172.67,170.08,170.08,16195126.0,299215657.0,11683461365.0,0.001386158219217084
2020-04-24,170.63,171.56,168.6,169.06,19015755.0,348148685.0,11683461365.0,0.0016275788831694399
2020-04-27,169.06,169.8,166.47,166.56,18391868.0,333099401.0,11683461365.0,0.0015741797251195002
2020-04-28,167.11,167.11,162.95,165.35,17100708.0,305105381.0,11683461365.0,0.001463667954706332
2020-04-29,165.08,167.58,163.87,167.48,15775632.0,282933741.0,11683461365.0,0.0013502532774455748
2020-04-30,170.72,175.45,170.35,174.98,32174798.0,603562972.0,11683461365.0,0.002753875499292157
2020-05-06,173.22,183.04,173.13,181.65,40244421.0,786245691.0,11683461365.0,0.003444563194308128
2020-05-07,182.02,182.39,179.52,181.93,21187351.0,414026832.0,11683461365.0,0.0018134481159385422
2020-05-08,182.02,188.87,182.02,187.85,29853632.0,600786011.0,11683461365.0,0.0025552044096651145
2020-05-11,188.69,193.22,184.24,186.09,31340811.0,637999978.0,11683461365.0,0.00268249365670753
2020-05-12,187.02,187.2,182.02,183.22,19530993.0,387118132.0,11683461365.0,0.001671678656678641
2020-05-13,183.13,183.22,179.8,180.72,15489583.0,302877767.0,11683461365.0,0.0013257700364724062
2020-05-14,180.35,180.35,174.89,175.35,24411908.0,464768363.0,11683461365.0,0.002089441411012874
2020-05-15,176.65,177.39,171.47,172.21,28214813.0,527888231.0,11683461365.0,0.0024149361322426902
2020-05-18,172.3,173.78,169.52,171.1,24312994.0,450448495.0,11683461365.0,0.0020809752555723026
2020-05-19,173.13,174.24,171.28,173.22,20522170.0,382977231.0,11683461365.0,0.0017565145601009997
2020-05-20,173.13,174.71,170.63,172.3,25417150.0,472962433.0,11683461365.0,0.0021754811528834975
2020-05-21,173.59,173.59,170.82,171.37,17527132.0,325485711.0,11683461365.0,0.0015001660426169432
2020-05-22,170.63,171.37,167.58,169.98,20926364.0,383186924.0,11683461365.0,0.0017911099584485167
2020-05-25,171.28,174.52,169.06,173.59,21750624.0,405722688.0,11683461365.0,0.0018616592566615638
2020-05-26,173.97,175.08,172.21,173.97,18225210.0,341351043.0,11683461365.0,0.0015599152879982156
2020-05-27,173.22,173.69,168.5,168.78,30590646.0,560146895.0,11683461365.0,0.002618286229082763
2020-05-28,168.69,170.26,166.74,168.32,21992801.0,399957332.0,11683461365.0,0.0018823874460597405
2020-05-29,167.67,168.23,165.45,165.91,28133576.0,505374313.0,11683461365.0,0.0024079829702077335
2020-06-01,166.56,170.63,165.82,169.43,48262661.0,874742676.0,11683461365.0,0.004130852963196322
2020-06-02,168.69,169.98,167.76,168.78,37108741.0,676229908.0,11683461365.0,0.003176176977070014
2020-06-03,170.54,175.35,169.52,175.35,57218336.0,1070126087.0,11683461365.0,0.004897378800036799
2020-06-04,177.39,177.76,168.13,168.78,85921758.0,1581566344.0,11683461365.0,0.007354135501093429
2020-06-05,168.04,168.97,167.58,168.78,27024959.0,490722023.0,11683461365.0,0.002313095251117818
2020-06-08,169.98,170.26,168.23,169.43,37090716.0,677690211.0,11683461365.0,0.003174634197970834
2020-06-09,169.06,170.63,168.6,169.43,35576308.0,651301160.0,11683461365.0,0.00304501439158908
2020-06-10,169.43,169.43,167.11,167.67,35437984.0,643145966.0,11683461365.0,0.0030331750919433114
2020-06-11,167.21,169.61,166.65,167.11,37781923.0,685137778.0,11683461365.0,0.003233795347086338
2020-06-12,164.98,166.56,164.24,166.56,58093793.0,1035663455.0,11683461365.0,0.004972310104437958
2020-06-15,164.98,165.73,163.97,164.06,28333961.0,504052660.0,11683461365.0,0.0024251341374637225
2020-06-16,165.54,165.73,163.97,164.8,26979196.0,479603543.0,11683461365.0,0.0023091783468229066
2020-06-17,164.8,165.91,163.69,165.45,25572777.0,455161296.0,11683461365.0,0.0021888014348734057
2020-06-18,165.08,165.73,164.34,165.17,27336719.0,487017134.0,11683461365.0,0.0023397791241808073
2020-06-19,166.1,168.97,165.82,168.97,49714763.0,898684963.0,11683461365.0,0.0042551399321548574
2020-06-22,168.04,168.69,166.84,167.76,28442628.0,514611354.0,11683461365.0,0.0024344350626437834
2020-06-23,167.39,167.58,165.73,166.37,26327335.0,472962540.0,11683461365.0,0.002253384864083898
2020-06-24,166.56,169.15,166.47,168.41,32072884.0,581923891.0,11683461365.0,0.002745152570631195
2020-06-29,168.04,168.04,166.0,166.47,29901238.0,538879455.0,11683461365.0,0.0025592790583084195
2020-06-30,166.95,167.24,164.81,165.4,39464217.0,671640289.0,11683461365.0,0.00337778469642759
2020-07-01,165.3,168.12,164.52,167.93,33048422.0,563966850.0,11683461365.0,0.0028286499152556576
2020-07-02,167.83,174.74,167.05,173.86,74917108.0,1322048110.0,11683461365.0,0.006412235694503022
2020-07-03,176.69,182.24,175.42,181.55,87026473.0,1597440535.0,11683461365.0,0.00744868924381469
2020-07-06,189.25,193.24,183.89,192.36,104323128.0,2024976364.0,11683461365.0,0.00892912851259298
2020-07-07,195.18,198.98,186.71,186.91,107258337.0,2114653535.0,11683461365.0,0.009180356201742788
2020-07-08,186.81,188.37,183.4,186.71,70962910.0,1353069016.0,11683461365.0,0.006073791642995688
2020-07-09,187.2,191.19,186.52,188.08,68125007.0,1317919300.0,11683461365.0,0.005830892478840323
2020-07-10,186.91,187.98,183.79,184.28,58784806.0,1119997674.0,11683461365.0,0.005031454648885211
2020-07-13,184.09,188.86,183.79,187.3,58787383.0,1125818136.0,11683461365.0,0.005031675217081527
2020-07-14,187.3,205.99,181.94,196.25,108042657.0,2130109661.0,11683461365.0,0.009247486992481702
2020-07-15,192.07,194.6,186.71,187.01,70828895.0,1387411145.0,11683461365.0,0.006062321155285474
2020-07-16,187.01,190.32,179.8,180.0,56625970.0,1075287494.0,11683461365.0,0.004846677558213503
2020-07-17,179.12,182.53,178.34,180.68,34114755.0,630857662.0,11683461365.0,0.0029199185013952414
2020-07-20,180.87,186.52,179.41,185.74,41951407.0,792518149.0,11683461365.0,0.003590665958435341
2020-07-21,186.52,187.59,183.79,184.28,30022368.0,570275463.0,11683461365.0,0.0025696467050370566
2020-07-22,185.94,187.59,183.99,184.38,36780096.0,701675467.0,11683461365.0,0.0031480478987315932
2020-07-23,184.18,186.23,178.63,180.97,51507383.0,960344050.0,11683461365.0,0.004408572202267046
2020-07-24,180.97,182.43,174.35,174.84,62155376.0,1135835034.0,11683461365.0,0.005319945353369173
2020-07-27,176.01,177.66,173.38,176.01,30021937.0,541413060.0,11683461365.0,0.002569609815284394
2020-07-28,176.78,178.34,175.03,175.32,24842822.0,449843738.0,11683461365.0,0.0021263238028433364
2020-07-29,175.03,179.02,173.09,178.73,36328088.0,660306111.0,11683461365.0,0.003109360048797491
2020-07-30,178.73,182.24,176.2,176.4,44076409.0,809655980.0,11683461365.0,0.0037725471607274836
2020-07-31,176.01,179.02,175.23,176.98,36154843.0,657636411.0,11683461365.0,0.0030945318232753023
2020-08-03,177.76,180.0,177.76,178.93,45982046.0,843208927.0,11683461365.0,0.0039356526771893
