date,open,high,low,close,volume,amount,outstanding_share,turnover
2022-04-06,2889.02,2966.91,2879.88,2925.77,17944305.0,2866077986.0,3881497761.0,0.004623036287769741
2022-04-07,2907.31,2996.72,2898.71,2933.82,18557169.0,2996915190.0,3881497761.0,0.004780929976684843
2022-04-08,2943.87,2976.24,2916.45,2936.38,16544628.0,2661592737.0,3881497761.0,0.0042624339929382225
2022-04-11,2889.2,2901.45,2794.85,2809.66,24257721.0,3752027960.0,3881497761.0,0.0062495774810779284
2022-04-12,2820.63,3011.35,2820.63,2996.54,33416391.0,5333900919.0,3881497761.0,0.008609148596131317
2022-04-13,2976.79,3017.01,2937.11,2968.01,23885459.0,3897075048.0,3881497761.0,0.006153670688668986
2022-04-14,2996.9,3163.29,2979.16,3137.15,43119146.0,7300575091.0,3881497761.0,0.011108893693884576
2022-04-15,3108.44,3181.58,3082.84,3106.61,22643958.0,3871918113.0,3881497761.0,0.005833819673302138
2022-04-18,3088.33,3088.33,3002.57,3056.88,18411135.0,3062759960.0,3881497761.0,0.004743306871123041
2022-04-19,3071.87,3108.44,2999.46,3017.01,16499269.0,2740121570.0,3881497761.0,0.004250748040042474
2022-04-20,3025.97,3090.15,2955.58,3033.47,20634107.0,3422120976.0,3881497761.0,0.005316016720999984
2022-04-21,2998.73,3044.99,2956.31,2972.77,17122910.0,2807078120.0,3881497761.0,0.0044114182344880655
2022-04-22,2972.58,3038.59,2906.94,3024.88,20014422.0,3268498122.0,3881497761.0,0.00515636572075302
2022-04-25,2962.16,2973.5,2825.02,2834.17,28635086.0,4556272568.0,3881497761.0,0.00737732900111803
2022-04-26,2834.17,2958.69,2825.75,2898.16,25453892.0,4045539333.0,3881497761.0,0.006557750014891738
2022-04-27,2898.16,2987.94,2898.16,2951.01,23927789.0,3849331178.0,3881497761.0,0.006164576272700315
2022-04-28,2951.19,3047.37,2935.65,3032.56,25711994.0,4235742307.0,3881497761.0,0.006624245480274541
2022-04-29,3040.79,3059.07,2904.75,2964.54,44874280.0,7241581133.0,3881497761.0,0.011561073266840924
2022-05-05,2925.59,3007.14,2910.05,2953.75,24480158.0,3973322638.0,3881497761.0,0.006306884483090134
2022-05-06,2889.57,2919.37,2861.78,2871.83,19086139.0,3007833167.0,3881497761.0,0.004917209844037831
2022-05-09,2834.35,2861.59,2785.34,2830.14,18623627.0,2874663797.0,3881497761.0,0.004798051717850778
2022-05-10,2761.03,2861.59,2735.43,2840.2,20108042.0,3092729204.0,3881497761.0,0.005180485276080519
2022-05-11,2840.2,2919.19,2834.17,2880.06,24390245.0,3846228734.0,3881497761.0,0.0062837199714669625
2022-05-12,2856.11,2919.74,2854.28,2890.48,17068607.0,2699983161.0,3881497761.0,0.0043974280164475925
2022-05-13,2918.28,2923.21,2853.36,2869.64,15255576.0,2401106195.0,3881497761.0,0.003930332294219762
2022-05-16,2906.76,2906.94,2819.54,2837.46,17765146.0,2767778351.0,3881497761.0,0.004576879105405724
2022-05-17,2837.27,2861.41,2827.58,2855.19,13341235.0,2078095646.0,3881497761.0,0.003437135822683784
2022-05-18,2858.85,2861.41,2805.82,2826.49,16560504.0,2560375192.0,3881497761.0,0.004266524166623112
2022-05-19,2795.22,2808.57,2783.33,2807.1,14878282.0,2273068154.0,3881497761.0,0.003833129095034405
2022-05-20,2821.37,2980.08,2810.21,2970.75,45229675.0,7222107585.0,3881497761.0,0.011652634571750304
2022-05-23,2955.03,2965.45,2889.02,2915.17,27645321.0,4410754725.0,3881497761.0,0.007122333362592915
2022-05-24,2933.45,2943.87,2857.57,2862.87,18855234.0,2974172509.0,3881497761.0,0.0048577212099543444
2022-05-25,2860.68,2899.26,2834.17,2878.96,16395707.0,2565767960.0,3881497761.0,0.004224067102328029
2022-05-26,2870.74,2920.1,2834.17,2874.76,19431756.0,3043721248.0,3881497761.0,0.005006252018291452
2022-05-27,2919.19,2953.02,2876.04,2888.11,21068308.0,3356383642.0,3881497761.0,0.005427881013274659
2022-05-30,2925.77,3067.3,2925.59,3038.59,51093206.0,8416468104.0,3881497761.0,0.013163270764540318
2022-05-31,3035.3,3160.0,3017.38,3134.04,48654483.0,8293724659.0,3881497761.0,0.012534976443594553
2022-06-01,3163.11,3168.78,3090.7,3115.94,21930245.0,3739434438.0,3881497761.0,0.0056499440036647235
2022-06-02,3090.7,3126.72,3084.3,3103.87,16522354.0,2801365549.0,3881497761.0,0.004256695486472032
2022-06-06,3117.58,3172.25,3045.9,3162.2,27814175.0,4762415124.0,3881497761.0,0.007165835641969857
2022-06-07,3165.12,3262.03,3145.01,3183.77,29507703.0,5177758449.0,3881497761.0,0.0076021435066853825
2022-06-08,3187.06,3291.11,3163.66,3257.1,32527871.0,5770812837.0,3881497761.0,0.00838023696080138
2022-06-09,3261.3,3289.46,3214.31,3218.33,20783889.0,3688662162.0,3881497761.0,0.005354605433198909
2022-06-10,3200.41,3263.86,3172.44,3244.11,21563045.0,3804237561.0,3881497761.0,0.005555341347007413
