symbol,name,trade,pricechange,changepercent,buy,sell,settlement,open,high,low,volume,amount,code,ticktime
sh601233,桐昆股份,17.930,-0.260,-1.429,17.930,17.940,18.190,18.280,18.310,17.700,25739326,462696498,601233,15:00:03
sh601333,广深铁路,3.090,-0.070,-2.215,3.090,3.100,3.160,3.160,3.160,3.070,57097300,177153644,601333,15:00:01
sh601399,国机重装,4.390,-0.090,-2.009,4.380,4.390,4.480,4.470,4.490,4.370,50630740,223037004,601399,15:00:01
sh601555,东吴证券,8.000,0.050,0.629,8.000,8.010,7.950,7.960,8.100,7.960,47462108,381523567,601555,15:00:01
sh601567,三星医疗,24.950,-0.150,-0.598,24.930,24.950,25.100,25.460,25.460,24.500,16247315,404778291,601567,15:00:03
sh601577,长沙银行,9.540,-0.100,-1.037,9.540,9.550,9.640,9.640,9.670,9.500,10680455,102086920,601577,15:00:01
sh601598,中国外运,6.270,-0.030,-0.476,6.260,6.270,6.300,6.290,6.360,6.230,19593200,123200746,601598,15:00:03
sh601608,中信重工,6.040,-0.090,-1.468,6.030,6.040,6.130,6.180,6.180,6.000,23432475,142210195,601608,15:00:01
sh601611,中国核建,13.290,-0.850,-6.011,13.280,13.290,14.140,14.130,14.150,13.250,64815308,880388609,601611,15:00:03
sh601615,明阳智能,15.870,-0.550,-3.350,15.860,15.870,16.420,16.620,16.660,15.720,63207021,1010765042,601615,15:00:01
sh601665,齐鲁银行,5.760,-0.070,-1.201,5.760,5.770,5.830,5.830,5.840,5.740,38954090,224986620,601665,15:00:01
sh601666,平煤股份,7.840,-0.390,-4.739,7.840,7.850,8.230,8.230,8.250,7.780,38240691,302843152,601666,15:00:01
sh601696,中银证券,11.960,-0.180,-1.483,11.950,11.960,12.140,12.160,12.240,11.960,17663811,213639665,601696,15:00:00
sh601699,潞安环能,13.050,-0.640,-4.675,13.050,13.060,13.690,13.610,13.650,12.940,24160002,317058542,601699,15:00:03
sh601717,中创智领,19.940,-0.260,-1.287,19.940,19.950,20.200,20.190,20.450,19.920,16810490,337993223,601717,15:00:03
sh601799,星宇股份,119.770,-1.410,-1.164,119.770,119.790,121.180,121.720,121.720,118.100,1676844,200378968,601799,15:00:03
sh601865,福莱特,13.460,-0.420,-3.026,13.450,13.460,13.880,13.830,13.880,13.440,17291800,235012758,601865,15:00:03
